name;size
10;5.2
1601;5.5
2;5.5
3;5.5
A1601;5.5
A33f;5.0
A37f;5.0
A3s;6.2
A57;5.2
A7;6.0
A77;2.3
AQUOS U SHV35;6.52
AQUOS zero (SH-M10);6.85
ASUS ASUS_I01WDX;6.59
Apple iPhone 11;6.1
Apple iPhone 11 Pro;5.8
Apple iPhone 11 Pro Max;6.5
Apple iPhone 4s;3.5
Apple iPhone 6;4.7
Apple iPhone 6 Plus;5.5
Apple iPhone 6s;4.7
Apple iPhone 6s Plus;5.5
Apple iPhone 7;4.7
Aquaris M10;10.1
Aquaris M5;5.0
Aquaris X5;5.0
Aurora;5.5
B8000-F;6.65
BLADE V0730;5.5
BV7000 Pro;6.76
BlackBerry KEY2 LE;4.5
Blade L2 Plus;5.5
C330;11.6
CPH1613;6.0
CPH1729;5.7
CPH1801;5.2
DROID Turbo 2;5.4
Desire 320;4.5
Desire 510;4.7
Desire 530;5.0
Desire 728G dual sim;5.5
DroiPad 7D ProLTE;6.8
Essential PH-1;5.71
F31;2.0
F7;6.23
F9;6.3
G Pad 8.0;8.0
G3 Beat;5.0
GOOGLE Pixel;5.0
GOOGLE Pixel 2;5.0
GOOGLE Pixel 2 XL;6.0
GOOGLE Pixel 3a;5.6
GOOGLE Pixel 4;5.7
GOOGLE Pixel 4 XL;6.3
GOOGLE Pixel 4a;5.81
Galaxy A10;6.2
Galaxy A10e;5.8
Galaxy A10s;6.2
Galaxy A2 Core;5.0
Galaxy A20;6.4
Galaxy A20s;6.5
Galaxy A3 (2017);4.7
Galaxy A3(2016);4.7
Galaxy A30;6.4
Galaxy A30s;6.4
Galaxy A40;5.9
Galaxy A5;5.0
Galaxy A5(2016);5.2
Galaxy A5(2017);5.2
Galaxy A50;6.4
Galaxy A50s;6.4
Galaxy A6;5.6
Galaxy A6+;6.0
Galaxy A7;5.5
Galaxy A7 (2018);6.0
Galaxy A7(2016);5.5
Galaxy A7(2017);5.7
Galaxy A70;6.7
Galaxy A8;5.7
Galaxy A8(2016);5.7
Galaxy A8(2018);5.6
Galaxy A8+(2018);5.6
Galaxy A90 5G;6.7
Galaxy A9 (2018);6.3
Galaxy C5;5.2
Galaxy Grand Neo;5.01
Galaxy Grand Prime;5.0
Galaxy Grand Prime Plus;5.0
Galaxy J1;4.3
Galaxy J1 Mini;4.0
Galaxy J1(2016);4.5
Galaxy J2;4.7
Galaxy J2 Prime;5.0
Galaxy J2 Pro;5.0
Galaxy J3;5.0
Galaxy J3 Mission;6.7
Galaxy J3(2016);5.0
Galaxy J4+;6.0
Galaxy J5;5.0
Galaxy J5 Prime;5.0
Galaxy J5(2016);5.2
Galaxy J6;5.6
Galaxy J6+;6.0
Galaxy J7;5.5
Galaxy J7 Max;5.7
Galaxy J7 Neo;5.5
Galaxy J7 Prime;5.5
Galaxy J7 Pro;5.5
Galaxy J7 V;5.5
Galaxy J7(2016);5.5
Galaxy J7(2017);5.5
Galaxy J8;6.0
Galaxy M20;6.3
Galaxy Note 10.1 2014 Edition;10.1
Galaxy Note 8.0;8.0
Galaxy Note Fan Edition;5.7
Galaxy Note10;6.3
Galaxy Note10 5G;6.3
Galaxy Note10+;6.8
Galaxy Note2;5.5
Galaxy Note3;5.7
Galaxy Note3 Neo;5.5
Galaxy Note4;5.7
Galaxy Note5;5.7
Galaxy Note8;6.3
Galaxy Note9;6.4
Galaxy On5;5.0
Galaxy On7;5.5
Galaxy S10;6.1
Galaxy S10 5G;6.7
Galaxy S10+;6.4
Galaxy S10e;5.8
Galaxy S3;4.8
Galaxy S4;5.0
Galaxy S4 Active;5.0
Galaxy S4 Mini;4.3
Galaxy S5;5.1
Galaxy S5 mini;4.5
Galaxy S6;5.1
Galaxy S6 Active;5.1
Galaxy S6 Edge;5.1
Galaxy S6 Edge+;5.7
Galaxy S6 edge;5.1
Galaxy S7;5.1
Galaxy S7 edge;5.5
Galaxy S8;5.8
Galaxy S8 Active;5.8
Galaxy S8+;6.2
Galaxy S9;5.8
Galaxy S9+;6.2
Galaxy Tab A;8.0
Galaxy Tab A (2017);8.0
"Galaxy Tab A (8.0"", 2019)";8.0
Galaxy Tab A 10.1;10.1
Galaxy Tab A 7.0;7.0
Galaxy Tab A 8.0;8.0
Galaxy Tab Active2;8.0
Galaxy Tab E 8.0;8.0
Galaxy Tab E 9.6;9.6
Galaxy Tab E8.0;8.0
Galaxy Tab S 8.4;8.4
Galaxy Tab S2;8.0
Galaxy Tab S2 8.0;8.0
Galaxy Tab S3;9.7
Galaxy Tab S4;10.5
Galaxy Tab S5e;10.5
Galaxy Tab S6;10.5
Galaxy Tab2 7.0;7.0
Galaxy Tab3 7.0;7.0
Galaxy Tab3 Lite;7.0
Galaxy Tab4 10.0;6.5
Galaxy Tab4 10.1;10.1
Galaxy Tab4 7.0;7.0
Galaxy Tab4 Active;8.0
Galaxy TabS 10.5;10.5
Galaxy Win2;4.5
Google Pixel 3;5.5
Google Pixel 3 XL;6.3
Google Pixel 3a XL;6.0
Google Pixel C;10.2
Google Pixel XL;5.5
HM NOTE 1LTETD;6.47
HMD GLOBAL Nokia 5.1 Plus;5.86
HMD GLOBAL Nokia 6.1;5.5
HMD GLOBAL Nokia 6.1 Plus;5.8
HMD GLOBAL Nokia 7.1;5.84
HMD GLOBAL Nokia 8.1;6.18
HMD GLOBAL OY TA-1000;5.5
HONOR 9X;6.59
HONOR View20;6.4
HTC 10;5.2
HTC Desire 320;4.5
HTC Desire 510;4.7
HTC Desire 530;5.0
HTC Desire 728G dual sim;5.5
HTC HTC One M9;5.0
HTC HTC U11;5.5
HTC Nexus 9;8.9
HTC One;4.7
HTC One (M8);5.0
HTC One M9;5.0
HTC One M9+;5.2
HTC U Play;5.2
HTC U Ultra;5.7
HTC U11;5.5
HUAWEI ANA-NX9;6.1
HUAWEI ELS-NX9;6.58
HUAWEI Mate 20;6.53
HUAWEI Mate 20 Pro;6.39
HUAWEI Mate 9 lite;5.5
HUAWEI Mate SE;5.93
HUAWEI P30;6.1
HUAWEI P30 lite;6.15
HUAWEI P9 lite mini;5.0
HUAWEI WAS-LX3;5.2
HUAWEI Y5 2018;5.45
HUAWEI Y7 2018;5.99
HUAWEI nova lite 3;6.21
Honor 10;5.84
Honor 6X;5.5
Honor 7A;5.45
Honor 8 Lite;5.2
Honor 8X;6.5
Honor 9;5.15
Honor Play;6.3
Huawei Mate 10;5.9
Mate 20 lite;6.3
Huawei Mate 10 Lite;5.9
Huawei Mate 20 Pro;6.39
Huawei Mate 9;5.9
Huawei Nexus 6P;5.7
Huawei P10;5.1
Huawei P10 Lite;5.2
Huawei P10 Plus;5.5
Huawei P20;5.8
Huawei P20 Pro;6.1
Huawei P20 lite;5.84
Huawei P30 lite;6.15
Huawei P8;5.2
Huawei P9;5.2
Huawei P9 lite;5.2
Huawei nova 3i;6.3
K5;5.0
K5 Plus;5.0
KEYone;4.5
L90;4.7
LAVIE Tab E;6.76
LEMOBILE LEX720;5.5
LEMOBILE Le X526;5.5
LENOVO Lenovo TB-8504F;8.0
LG ELECTRONICS LG-X220;6.8
LG G Flex;6.0
LG G Pad 8.3;8.3
LG G Stylo;5.7
LG G2;5.2
LG G3;5.5
LG G3 Cat.6;5.5
LG G4;5.5
LG G5;5.3
LG G6;5.7
LG G7 ThinQ;6.1
LG K10 LTE;5.3
LG K5;5.0
LG K7;5.0
LG K8;5.0
LG Optimus G Pro;5.5
LG Q6;5.5
LG Q60;6.26
LG Stylus 2;5.7
LG Stylus2 4G;6.8
LG Tribute 5;5.0
LG X power;5.3
LGE LG-V500;6.4
LGE LM-G820;6.1
Lenovo K8 Note;5.5
Lenovo Yoga TAB3 Plus;6.65
LenovoTB-X304F/Lenovo TAB4;10.1
M7 Power;6.0
MEIZU m2 note;5.5
MI 3W;6.53
MI 9;6.39
MI CC 9;6.39
MI MIX 2S;5.99
MI Note 3;5.5
MI6;5.15
MICROSOFT Surface Duo;5.6
MOTOROLA Moto Z2 Play;5.5
MOTOROLA moto e6 play;5.5
MOTOROLA moto z4;6.4
Mate 10;5.9
Mate 10 lite;5.9
Mate 20 Pro;6.39
Mate 9;5.9
Mate 9Pro;5.5
MediaPad T3 7;7.0
Meizu M2 Note;5.5
Mi 4c;5.0
Mi 4i;5.0
Mi 5;5.15
Mi A1;5.5
Mi A2;5.99
Mi A2 Lite;5.84
Mi A3;6.09
Microsoft Surface Duo;5.6
Moto C;5.0
Moto C Plus;5.0
Moto E4;5.0
Moto G (1st Gen);4.5
Moto G (2nd Gen);5.0
Moto G (3rd Gen);5.0
Moto G (4) Play;5.0
Moto G with 4G LTE (2nd Gen);5.0
Moto G(4);6.7
Moto G4 Play;5.0
Moto X (2nd Gen);5.2
Moto X (4);5.2
Moto X Play;5.5
Moto Z;5.5
Motorola Droid Turbo 2;5.4
Motorola Moto C;5.0
Motorola Moto C Plus;5.0
Motorola Moto E6;5.5
Motorola Moto E6 Play;5.5
Motorola Moto G (2nd gen);5.0
Motorola Moto G (3rd gen);5.0
Motorola Moto X (2nd Gen);5.2
Motorola Moto X Play;5.5
Motorola Moto Z;5.5
Motorola Moto Z2 Play;5.5
Motorola Moto Z3 Play;6.01
Motorola Moto Z4;6.4
Motorola Nexus 6;5.96
Motorola One Vision;6.3
Motorola one;6.7
Nexus 10;10.1
Nexus 4;4.7
Nexus 5;4.95
Nexus 5X;5.2
Nexus 6;5.9
Nexus 6P;5.7
Nexus 7 (2013);7.0
Nexus 9;8.9
Nokia 6;5.5
ONEPLUS AC2001;6.44
ONEPLUS HD1900;6.55
ONEPLUS HD1910;6.67
ONEPLUS IN2021;6.78
ONYX Bridge_C67HD_AUDIO;5.2
OPPO CPH1943;6.5
OPPO CPH1945;6.53
One;5.5
OnePlus 2;5.5
OnePlus 3;5.5
OnePlus 3T;5.5
OnePlus 6;6.28
OnePlus 7 Pro;6.67
OnePlus One;5.5
OnePlus One E1005;5.0
OnePlus3;5.5
OnePlus5;5.5
OnePlus5T;6.01
OnePlus6T;6.41
P10;5.1
P10 Plus;5.5
P10 lite;5.2
P20;5.8
P20 Pro;6.1
P20 lite;5.84
P30 lite;6.15
P70;5.0
P8;5.2
P8 Lite;5.0
P9;5.2
P9 lite;5.2
PD1612;5.5
PE-UL00;5.5
PRIV by BlackBerry;5.4
PRO 7;6.67
Phoenix 3;5.0
Pixel 2;5.0
Pixel 2 XL;6.0
Pixel 3;5.5
Pixel 3 XL;6.3
Pixel 3a;5.6
Pixel 3a XL;6.0
Pixel C;10.2
Pixel XL;5.5
R1 HD;5.0
R9;5.5
R9s;5.5
REALME RMX1851;6.3
Redmi 3;5.0
Redmi 3S;5.0
Redmi 4 Pro;5.0
Redmi 4A;5.0
Redmi 4X;5.0
Redmi 5;5.7
Redmi 5A;5.0
Redmi 6 Pro;6.26
Redmi 6A;5.45
Redmi 7;6.26
Redmi Note 3;5.5
Redmi Note 4;5.5
Redmi Note 5 Pro;5.99
Reno 10倍变焦版;6.6
Reno A;6.4
Robin;5.2
S856;5.5
SAMSUNG SM-A515F;6.5
SAMSUNG SM-G530A;5.0
SAMSUNG SM-G955W;6.2
SAMSUNG SM-G9810;6.2
SAMSUNG SM-G986B;6.7
SAMSUNG SM-G986U1;6.7
SAMSUNG SM-G988U;6.9
SAMSUNG SM-M315F;6.4
SAMSUNG SM-N770F;6.7
SAMSUNG SM-N986U1;6.9
SM-F711U1;6.7
SAMSUNG SM-P610;10.4
SHARP SH063;6.67
SONY G3313;5.5
SONY G8142;5.46
SONY Xperia Tablet Z Wi-Fi;10.1
Samsung Galaxy A10;6.2
Samsung Galaxy A10e;5.83
Samsung Galaxy A10s;6.2
Samsung Galaxy A2 Core;5.0
Samsung Galaxy A20;6.4
Samsung Galaxy A20s;6.5
Samsung Galaxy A3 (2016);4.7
Samsung Galaxy A3 (2017);4.7
Samsung Galaxy A30;6.4
Samsung Galaxy A30s;6.4
Samsung Galaxy A40;5.9
Samsung Galaxy A5;5.0
Samsung Galaxy A5 (2016);5.2
Samsung Galaxy A5 (2017);5.2
Samsung Galaxy A50;6.4
Samsung Galaxy A50s;6.4
Shark;5.99
Smart prime 7;5.0
Sony Xperia Tablet Z Wi-Fi;10.1
TB2-X30F;6.65
TCL 4009F;6.53
TCL 5044O;5.0
TCL 9020A;4.0
TINNO P710;5.1
TOPWISE Comio X1 Note;6.47
U Play;5.2
U Ultra;5.7
U11;5.5
UMIDIGI Z Pro;6.53
V10;5.7
V20;6.44
V30;6.0
V40 ThinQ;6.4
VIVO V2027;6.44
VIVO vivo 1612;5.5
X charge;5.5
X7;5.2
X9;5.5
XAC SAIO;6.5
XIAOMI Mi A3;6.09
XIAOMI Redmi Note 7;6.3
Redmi Note 7;6.3
Redmi Note 8;6.3
XIAOMI Redmi Note 8;6.3
XIAOMI Redmi Y2;5.99
XP8;5.0
Xiaomi Mi 4c;5.0
Xiaomi Mi 4i;5.0
Xiaomi Mi 5;5.15
Xiaomi Mi 9;6.39
Xiaomi Mi A3;6.09
Xiaomi Mi Mix 2S;5.99
Xiaomi Mi Note 3;5.5
Xiaomi Redmi 3;5.0
Xiaomi Redmi 3s;5.0
Xiaomi Redmi 4A;5.0
Xiaomi Redmi 5;5.7
Xiaomi Redmi 5A;5.0
Xiaomi Redmi 6A;5.45
Xiaomi Redmi 7;6.26
Xiaomi Redmi Note 3;5.5
Xiaomi Redmi Note 4;5.5
Xiaomi Redmi Note 5 Pro;5.99
Xperia 1;6.5
Xperia 10;6.0
Xperia 10 Plus;6.5
Xperia Ace;5.2
Xperia E5;5.0
Xperia L1;5.5
Xperia X;5.0
Xperia X Compact;4.6
Xperia X Performance;5.0
Xperia XA;5.0
Xperia XA Ultra;6.0
Xperia XA1 Ultra;6.0
Xperia XZ Premium;5.5
Xperia XZ1;5.2
Xperia XZ2 Compact;5.0
Xperia Z1 Compact;4.3
Xperia Z2;5.2
Xperia Z2 Tablet;10.1
Xperia Z5;5.2
Xperia Z5 Compact;4.6
Xperia‚Ñ¢ M4 Aqua;5.0
Y330-U01;4.0
Y360-U03;6.5
Y66;5.5
Y7;5.5
Z981;6.0
ZTE BLade Zmax;6.0
ZTE ZR01;6.92
ZenFone 2 (ZE551ML);6.7
ZenFone 3 (ZE552KL);6.67
ZenFone 5;6.2
ZenFone Go (ZB452KG);6.2
ZenPad 3S 10 (Z500M);9.7
ZenPad 8.0 (Z380M);8.0
honor 5X;5.5
iPad (6th generation);10.9
iPad 2 (Wi-Fi);5.4
iPad 3 (GSM);6.67
iPad 3 (Global);6.4
iPad 3 (Wi-Fi);6.67
iPad 4 (GSM);6.5
iPad 5G (Wi-Fi);6.56
iPhone 11;6.1
iPhone 11 Pro;5.85
iPhone 11 Pro Max;6.5
iPhone 4S;3.5
iPhone 5 (GSM);6.1
iPhone 5c (Global);6.1
iPhone 6;4.7
iPhone 6 Plus;5.5
iPhone 6s;4.7
iPhone 6s Plus;5.5
iPhone 7;4.7
iPhone 7 Plus;5.5
iPhone 8;4.7
iPhone 8 Plus;5.5
iPhone SE;4.0
iPhone X;5.8
iPhone XR;6.1
iPhone XS;5.8
iPhone XS Max;6.5
iPod touch 6G;9.7
moto e6;5.5
moto g(6);5.7
moto g(6) play;6.7
moto g(7) power;6.4
moto z3 play;6.01
moto z4;6.4
motorola one vision;6.3
nova 3i;6.3
vivo 1714;5.5
vivo 1724;6.0
vivo 1814;6.2
vivo X20;6.01
Galaxy A11;6.4
Galaxy On Nxt;5.5
Samsung Galaxy On Nxt;5.5
iPhone 12 mini;5.4
LG V35 ThinQ;6.0
Moto z4;6.4
Galaxy A50;6.4
A7;6.0
P20Pro;6.1
LG G8 ThinQ;6.1
Galaxy s10;6.1
Galaxy J2 Core;5.0
Moto G (5);5.0
Moto G (3);5.0
moto e5 play;5.2
Moto G (5) Plus;5.2
Galaxy J4;5.5
Moto G Plus;5.5
Moto G(4) Plus;5.5
Galaxy On7(2016);5.5
Pixel 4;5.7
LG Solo LTE;5.7
Pixel 5;6.0
Galaxy A8+;6.0
Galaxy S20 5G;6.2
SAMSUNG SM-G981U1;6.2
Google Pixel 6;6.4
LG V50 ThinQ;6.4
Galaxy A51;6.5
OnePlus 7T;6.55
Galaxy S20+ 5G;6.7
Galaxy Z Flip3 5G;6.7
Amazon KFMUWI;7.0
Lenovo TAB4 8;8.0
A5;5.0
Galaxy S7 A29;5.1
Galaxy Note 3;5.7
ZenFone Max Pro M2;6.2
Pixel 4 XL;6.3
Galaxy Note 8;6.3
Motorola one zoom;6.4
ONEPLUS A6010;6.41
OnePlus A6013;6.41
GM1903;6.41
Galaxy A21s;6.5
A5 2020;6.5
OnePlus 8;6.55
Reno 10x Zoom;6.6
Galaxy Note 10+;6.8
Galaxy S20 Ultra 5G;6.9
Galaxy Note20 Ultra 5G;6.9
Galaxy Tab S7;11.0
HUAWEI nova 5T;6.26
iPhone SE (2016);4.0
iPhone 5;4.0
iPhone 5s;4.0
iPhone 5c;4.0
iPhone SE (2020);4.7
iPhone SE (2nd generation);4.7
iPhone 13 Mini;5.4
iPhone 12;6.1
iPhone 12 Pro Max;6.68
iPhone 13 Pro Max;6.68
iPhone 5c (GSM);4.0
Galaxy Tab S6 Lite;10.4
Galaxy Tab Active Pro;10.1
Galaxy Tab Active3;8.0
iPad mini 4;7.9
Galaxy S21 Ultra 5G;6.8
Pixel 6;6.4
Pixel 4a (5G);6.2
iPhone 12 Pro;6.1
iPhone14,5;6.1
Galaxy S20 FE 5G;6.5
Galaxy Tab A7;10.4
Galaxy S21 5G;6.2
Galaxy Note20 5G;6.7
iPhone14,4;5.4
iPhone14,2;6.1
iPad Pro (10.5-inch);10.5
iPad Pro (11-inch);11.0
Pixel 6 Pro;6.71
P30 Pro ;6.47
SM-T225;8.7
A9 2020;6.5
iPad mini (5th generation);7.9